,index,Artist ID,Primary Artist,Added At,Release Date,Days Until Discovery,Followers,Genres,Artist Popularity,First Popularity Peak,Popularity When Discovered
893,893,56Ly9KlUgoX57pVDe2amch,Expensive Magnets,2019-06-19T06:02:23Z,2019-06-11,8.0,228,[],9,2014-07-01,25.666666666666664
894,894,56koGOp6EpWHZYOfuTTxRB,Thelonious Monk Septet,2014-03-23T09:48:03Z,2012-01-01,812.0,13216,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz']",30,,
895,895,56oDRnqbIiwx4mymNEv7dS,Lizzo,2019-10-03T21:15:48Z,2019-05-03,153.0,1524964,"['escape room', 'minnesota hip hop', 'pop', 'pop rap', 'trap queen']",88,2019-08-01,
896,896,5712BvYQ5m5Wcah576OFH4,PWR BTTM,2016-04-09T23:59:53Z,2015-09-18,204.0,35835,['queercore'],37,2017-05-01,10.5
897,897,574ERIqzZ5yZU9JhIf3Ysf,Angie McMahon,2019-03-27T15:51:16Z,2019-03-07,20.0,46454,"['australian hip hop', 'australian indie', 'australian pop']",57,2019-10-01,28.64516129032258
898,898,57LkmRYAzvaq7lt1JI6oZb,Andy Sheppard Quartet,2018-03-01T04:10:00Z,2018-02-16,13.0,1458,"['contemporary jazz', 'jazz quartet']",42,2015-04-01,66.70967741935483
899,899,57Y6o4sDBaOkiz5rJfLjss,Mou Brasil,2019-01-29T22:31:58Z,2013-03-01,2160.0,316,['brazilian modern jazz'],18,,
900,900,57jIhbre5LNTiR4Pr60wUs,Eternity Forever,2017-09-30T02:37:22Z,2017-01-26,247.0,24986,['progressive post-hardcore'],43,2017-04-01,54.0
901,901,57jOU73wQwk1uZ5je9Z0ax,John Stammers,2017-11-30T22:37:34Z,2017-06-30,153.0,663,[],26,2012-09-01,22.0
902,902,57lZV9UhuFwsrNGADnli40,Deep Cuts,2017-03-20T21:37:43Z,2016-11-04,136.0,1811,[],22,2018-12-01,40.83870967741935
903,903,586OHhbBhXRpOY8LezbUcK,Chong the Nomad,2018-01-27T05:13:14Z,2018-01-26,0.0,6439,['seattle indie'],34,2012-06-01,0.0
904,904,588r6qyrSUITUnpkKB0Dev,Mark Kozelek & Jimmy LaValle,2017-08-23T00:55:52Z,2013-04-30,1576.0,3298,[],36,2013-07-01,21.741935483870968
905,905,58ehndX799ZV9Jcv6IefJ1,Sheer Mag,2019-10-23T14:36:02Z,2017-07-14,831.0,26106,"['garage psych', 'indie punk', 'indie rock', 'noise pop', 'philly indie']",44,2016-03-01,
906,906,58rIPw8uw8LW01eQH7Mi7m,Soft Kill,2017-06-21T20:43:52Z,2016-11-04,229.0,27749,"['american shoegaze', 'dark post-punk', 'grave wave', 'nu gaze']",44,2013-03-01,36.1
907,907,59giNkLqQNTZs8MnlrkUhM,Robson Jorge,2017-07-31T22:10:41Z,2014-09-16,1049.0,530,['brazilian boogie'],31,2015-01-01,45.0
908,908,59lypjMPo7ZILhNMCgaE19,Angel Bat Dawid,2019-04-16T02:02:45Z,2019-02-08,67.0,1804,['spiritual jazz'],27,2019-02-01,19.466666666666665
909,909,59oA5WbbQvomJz2BuRG071,Jungle,2018-11-24T23:30:35Z,2018-09-14,71.0,430233,"['indie soul', 'uk contemporary r&b']",68,2016-04-01,31.6
910,910,59zdhVoWxSoHMc74n098Re,David Crosby,2016-08-26T22:58:05Z,2016-07-07,0.0,133487,"['cosmic american', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']",50,2016-12-01,24.322580645161292
911,911,5Apl0wL4OwNUDYkx69rMDQ,Dirty Loops,2013-11-19T12:37:35Z,2013-01-01,322.0,88601,['jazz funk'],47,2011-12-01,43.766666666666666
912,912,5AsILjsyA0MI31ybMkMTtz,Soft Hair,2018-07-21T23:02:01Z,2016-10-28,631.0,47557,['experimental pop'],48,2012-07-01,48.774193548387096
913,913,5B6X5CZS2DBDhWvwrXjJch,Jacob Mann Big Band,2017-03-30T05:02:49Z,2016-12-09,26.0,4391,[],30,2019-06-01,28.225806451612904
914,914,5BE2thxoKn9GABgMVwY8VY,Crater,2017-05-20T01:17:27Z,2016-02-26,449.0,1932,[],11,2014-07-01,23.29032258064516
915,915,5BRAUN0yN8557PLRZIr02W,Ezra Collective,2017-08-19T01:10:12Z,2017-08-11,8.0,51599,"['british jazz', 'indie jazz', 'indie soul', 'neo r&b', 'uk contemporary jazz']",53,2019-04-01,5.516129032258065
916,916,5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,2016-03-02T04:02:54Z,2016-02-26,5.0,2415483,"['dance pop', 'pop', 'pop rap']",77,2013-05-01,19.612903225806452
